Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 Reflecting on the beauty of diversity in our world.     , Acceptance   ,01/03/2023 10:45, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22,45, Australia ,2023,3,1,10
 Excitement for a quiet evening with a good book.        , Excitement   ,01/03/2023 13:30, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18,35, USA          ,2023,3,1,13
 Feeling bitter about the unfairness in the workplace.   , Bitter       ,01/03/2023 17:45, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15,30, Canada    ,2023,3,1,17
 Calmness prevails as I practice mindfulness.            , Calmness     ,02/03/2023 18:00, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15,30, UK        ,2023,3,2,18
 Confusion surrounds me as I navigate through life's choices. , Confusion ,02/03/2023 13:15, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,2023,3,2,13
 Excitement for a weekend road trip to explore new places. , Excitement ,02/03/2023 16:45, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25,50, India     ,2023,3,2,16
 Kindness witnessed today restores my faith in humanity.  , Kind         ,03/03/2023 11:30, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       ,2023,3,3,11
 Pride in accomplishing personal and professional goals.  , Pride        ,03/03/2023 14:30, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12,25, Canada ,2023,3,3,14
 Shame for not being true to my values in a difficult situation., Shame ,03/03/2023 12:00, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15,30, UK        ,2023,3,3,12
" Revisiting old memories, feeling a sense of elation. ", Elation       ,15/05/2010 15:30, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20,40, Canada    ,2010,5,15,15
 The victory of our team brought euphoria to the city. , Euphoria      ,10/08/2021 21:15, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15,30, USA      ,2021,8,10,21
" Embracing the beauty of nature, a moment of contentment. ", Contentment   ,20/06/2011 14:45, NatureLover2    , Facebook , #Contentment #Nature                           ,25,50, India       ,2011,6,20,14
" Meditating by the serene lake, finding inner peace.   ", Serenity      ,12/02/2022 18:20, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18,35, UK          ,2022,2,12,18
 Overflowing with gratitude for life's blessings.      , Gratitude     ,25/11/2012 10:00, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30,60, Australia   ,2012,11,25,10
" Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,05/04/2013 19:30, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22,45, USA      ,2013,4,5,19
 Empowered to make a difference in my community.        , Empowerment   ,14/09/2014 08:30, CommunityLeader , Twitter  , #Empowerment #Community                        ,15,30, UK       ,2014,9,14,8
 Compassion in action: supporting a local charity event. , Compassion    ,18/07/2015 14:20, CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18,35, Canada ,2015,7,18,14
" A moment of tenderness, connecting with loved ones.    ", Tenderness    ,23/02/2016 19:45, LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25,50, UK          ,2016,2,23,19
 Arousal of excitement as I await a special announcement., Arousal       ,30/10/2017 11:30, ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20,40, Australia ,2017,10,30,11
 Enthusiastically diving into a new project.            , Enthusiasm    ,15/06/2018 16:00, ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15,30, USA  ,2018,6,15,16
 Feeling a sense of fulfillment after reaching a milestone., Fulfillment  ,28/03/2019 18:20, MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22,45, India     ,2019,3,28,18
 Reverence for the beauty of a historic landmark.       , Reverence     ,11/11/2019 15:00, HistoryLover    , Twitter  , #Reverence #History                           ,18,35, UK      ,2019,11,11,15
 Elation after a surprise reunion with old friends.    , Elation       ,02/04/2020 09:30, JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25,50, Canada      ,2020,4,2,9
 The euphoria of a live music concert under the stars.  , Euphoria      ,19/06/2021 14:45, MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15,30, USA ,2021,6,19,14
 Contentment in the simplicity of a quiet Sunday.       , Contentment   ,15/08/2010 10:00, SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30,60, Australia ,2010,8,15,10
 Serenity found in the pages of a favorite book.        , Serenity      ,22/09/2011 19:30, BookLover3      , Instagram , #Serenity #BookTime                           ,22,45, UK          ,2011,9,22,19
 Gratitude for the support received during tough times. , Gratitude     ,10/03/2012 08:30, SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15,30, India     ,2012,3,10,8
 Hopeful about the possibilities of a new journey.      , Hope          ,05/12/2013 16:00, JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18,35, Canada    ,2013,12,5,16
 Empowerment through learning and personal growth.      , Empowerment   ,20/07/2014 11:30, GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25,50,USA,2014,7,20,11
 Compassion towards those in need during the holidays.  , Compassion    ,22/12/2015 14:20, HolidayHelper   , Facebook , #Compassion #HolidaySupport                   ,18,35, USA      ,2015,12,22,14
 Tenderness in the warmth of a cozy winter evening.     , Tenderness    ,10/02/2016 19:45, WinterWarmth    , Twitter  , #Tenderness #CozyEvening                     ,25,50, UK       ,2016,2,10,19
 Arousal of excitement for an upcoming adventure.       , Arousal       ,30/04/2017 11:30, AdventureAwaits , Instagram , #Arousal #AdventureTime                       ,20,40, Australia ,2017,4,30,11
 Enthusiasm for a creative project in the making.       , Enthusiasm    ,15/09/2018 16:00, CreativeSpirit  , Facebook , #Enthusiasm #Creativity                       ,15,30, Canada    ,2018,9,15,16
 Fulfillment in completing a challenging workout routine., Fulfillment  ,28/06/2019 18:20, FitnessAchiever , Twitter  , #Fulfillment #FitnessGoals                   ,22,45, India     ,2019,6,28,18
 Reverence for the artistry displayed in a museum.      , Reverence     ,11/11/2020 15:00, ArtAppreciator  , Instagram , #Reverence #ArtAppreciation                  ,18,35, UK        ,2020,11,11,15
 Elation after achieving a personal goal.               , Elation       ,02/03/2021 09:30, GoalAchiever2   , Facebook , #Elation #PersonalAchievement                ,25,50, USA      ,2021,3,2,9
 Elation over discovering a hidden gem in the city.   , Elation       ,18/02/2012 14:30, UrbanExplorer2  , Twitter  , #Elation #HiddenGem                            ,20,40, USA      ,2012,2,18,14
 The euphoria of a surprise birthday celebration.     , Euphoria      ,05/11/2018 21:45, BirthdayJoy     , Instagram , #Euphoria #BirthdaySurprise                   ,15,30, UK   ,2018,11,5,21
 Contentment in the simplicity of a home-cooked meal. , Contentment   ,12/09/2015 13:20, HomeChef        , Facebook , #Contentment #HomeCooking                     ,25,50, India    ,2015,9,12,13
 Serenity found in the melody of a peaceful piano.    , Serenity      ,30/07/2016 18:10, MusicLover4     , Twitter  , #Serenity #PeacefulMelody                    ,18,35, Canada      ,2016,7,30,18
 Gratitude for the supportive community around me.    , Gratitude     ,20/04/2013 10:30, CommunityLove   , Instagram , #Gratitude #CommunitySupport                   ,30,60, USA ,2013,4,20,10
 Hopeful about the prospects of a new business venture., Hope          ,08/12/2017 19:15, EntrepreneurHope, Facebook , #Hope #BusinessVenture                        ,22,45, Canada    ,2017,12,8,19
 Empowerment through mentoring and guiding others.    , Empowerment   ,03/06/2014 08:20, MentorEmpower   , Twitter  , #Empowerment #Mentorship                      ,15,30, UK       ,2014,6,3,8
 Compassion shown through acts of kindness in the community., Compassion,15/01/2019 14:50, KindnessInAction, Instagram , #Compassion #CommunityKindness               ,18,35, Australia ,2019,1,15,14
 Tenderness in a heartfelt message to a loved one.    , Tenderness    ,25/12/2016 19:30, LoveExpress     , Facebook , #Tenderness #LoveNote                         ,25,50, UK          ,2016,12,25,19
 Arousal of excitement before a much-awaited trip.    , Arousal       ,10/03/2018 09:45, TravelExcitement, Twitter  , #Arousal #TravelAdventure                     ,20,40, India    ,2018,3,10,9
 Enthusiasm for a new artistic project in the works.  , Enthusiasm    ,17/09/2020 16:30, ArtisticSpirit  , Instagram , #Enthusiasm #ArtisticProject                 ,15,30, USA       ,2020,9,17,16
 Feeling a sense of fulfillment after helping others. , Fulfillment   ,28/08/2011 18:45, HelperHeart     , Facebook , #Fulfillment #HelpingOthers                  ,22,45, Canada    ,2011,8,28,18
 Reverence for the historical significance of a landmark., Reverence ,01/11/2017 15:30, HistoryBuff     , Twitter  , #Reverence #HistoricalSite                   ,18,35, Australia ,2017,11,1,15
 Elation after achieving a fitness milestone.         , Elation       ,15/06/2019 10:00, FitnessAchiever2, Instagram , #Elation #FitnessMilestone                   ,25,50, UK           ,2019,6,15,10
 The euphoria of a successful product launch.         , Euphoria      ,03/04/2022 11:45, ProductLaunchJoy, Facebook , #Euphoria #ProductLaunchSuccess              ,15,30, USA       ,2022,4,3,11
 Contentment in the embrace of a loved one.           , Contentment   ,12/11/2010 20:20, LovingEmbrace   , Twitter  , #Contentment #Love                             ,30,60, India    ,2010,11,12,20
 Serenity found in the beauty of a sunset by the sea.  , Serenity      ,22/07/2011 18:30, SunsetWatcher2  , Instagram , #Serenity #SunsetViews                       ,22,45, Canada     ,2011,7,22,18
 Gratitude for the small joys that each day brings.   , Gratitude     ,30/03/2012 11:20, JoyfulHeart2    , Facebook , #Gratitude #SmallJoys                        ,15,30, Australia   ,2012,3,30,11
 Hopeful about the potential for personal growth.      , Hope          ,05/10/2013 16:40, GrowthOptimist  , Twitter  , #Hope #PersonalDevelopment                    ,18,35, UK       ,2013,10,5,16
 Empowerment through learning a new skill.            , Empowerment   ,10/07/2014 13:15, SkillEmpower    , Instagram , #Empowerment #SkillBuilding                   ,25,50, India   ,2014,7,10,13
 Compassion in volunteering for a local charity.       , Compassion    ,18/12/2015 14:20, CharityVolunteer, Facebook , #Compassion #VolunteerWork                   ,18,35, USA      ,2015,12,18,14
 Tenderness in a quiet moment shared with a pet.      , Tenderness    ,10/02/2016 19:45, PetLove         , Twitter  , #Tenderness #PetLove                          ,25,50, Canada   ,2016,2,10,19
 Arousal of excitement for an upcoming festival.       , Arousal       ,25/09/2017 11:30, FestivalFan     , Instagram , #Arousal #FestivalExcitement               ,20,40, UK ,2017,9,25,11
 Enthusiasm for a DIY home improvement project.       , Enthusiasm    ,15/04/2018 16:00, DIYEnthusiast   , Facebook , #Enthusiasm #HomeImprovement                 ,15,30, Australia   ,2018,4,15,16
 Fulfillment in completing a challenging puzzle.      , Fulfillment   ,28/11/2019 18:20, PuzzleMaster    , Twitter  , #Fulfillment #PuzzleChallenge                ,22,45, India    ,2019,11,28,18
 Reverence for the wonders of nature on a hiking trail., Reverence ,11/05/2020 15:00, NatureAdmirer   , Instagram , #Reverence #NatureExploration                ,18,35, USA        ,2020,5,11,15
 Elation after a surprise reunion with a childhood friend., Elation   ,05/02/2021 09:30, ChildhoodJoy    , Facebook , #Elation #FriendshipReunion                  ,25,50, Canada      ,2021,2,5,9
 Suffering from despair after another setback.      , Despair         ,10/03/2021 08:30, StrugglingSoul    , Twitter  , #Despair #Struggle                              ,5,10, USA          ,2021,3,10,8
